Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 09:52:32 JST 2020: Register name as: 'op' (/127.0.0.1, ID:80)
Thu Jan 16 09:54:32 JST 2020: Connect with /127.0.0.1, ID: 83
Thu Jan 16 09:54:32 JST 2020: Register name as: 'op' (/127.0.0.1, ID:83)
Thu Jan 16 09:58:40 JST 2020: disconnect with: 'op' (/127.0.0.1,83)
Thu Jan 16 10:08:07 JST 2020: disconnect with: 'op' (/127.0.0.1,80)
Thu Jan 16 10:08:20 JST 2020: Connect with /127.0.0.1, ID: 88
Thu Jan 16 10:08:20 JST 2020: Register name as: 'op' (/127.0.0.1, ID:88)
Thu Jan 16 10:08:33 JST 2020: disconnect with: 'op' (/127.0.0.1,88)
Thu Jan 16 10:40:46 JST 2020: Connect with /127.0.0.1, ID: 92
Thu Jan 16 10:40:46 JST 2020: Register name as: 'op' (/127.0.0.1, ID:92)
Thu Jan 16 10:54:40 JST 2020: disconnect with: 'op' (/127.0.0.1,92)
Thu Jan 16 10:59:22 JST 2020: Connect with /127.0.0.1, ID: 96
Thu Jan 16 10:59:22 JST 2020: Register name as: 'op' (/127.0.0.1, ID:96)
Thu Jan 16 11:07:45 JST 2020: disconnect with: 'op' (/127.0.0.1,96)
Thu Jan 16 11:28:02 JST 2020: Connect with /127.0.0.1, ID: 100
Thu Jan 16 11:28:02 JST 2020: Register name as: 'op' (/127.0.0.1, ID:100)
Thu Jan 16 11:36:37 JST 2020: disconnect with: 'op' (/127.0.0.1,100)
Thu Jan 16 11:38:47 JST 2020: Connect with /127.0.0.1, ID: 104
Thu Jan 16 11:38:47 JST 2020: Register name as: 'op' (/127.0.0.1, ID:104)
Thu Jan 16 11:38:56 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:38:56 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:38:56 JST 2020: send msg: [addAction:requestMessage:am;113856667] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:38:56 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:38:56 JST 2020: send msg: [113856667] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:38:56 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:38:56 JST 2020: send msg: [addAction:requestMessage:am;113856921] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:38:57 JST 2020: send msg: [113856921] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:38:57 JST 2020: send msg: [addAction:requestMessage:am;113857284] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:38:57 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:38:58 JST 2020: send msg: [113857284] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:38:58 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:38:58 JST 2020: send msg: [addAction:requestMessage:am;113858189] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:38:59 JST 2020: send msg: [113858189] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:38:59 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:38:59 JST 2020: send msg: [addAction:requestMessage:am;113859121] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:05 JST 2020: send msg: [113859121] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:05 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:05 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:05 JST 2020: send msg: [addAction:requestMessage:am;11395100] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:12 JST 2020: send msg: [11395100] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:12 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:12 JST 2020: send msg: [addAction:requestMessage:am;113912230] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:16 JST 2020: send msg: [113912230] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:16 JST 2020: send msg: [addAction:requestMessage:am;113916529] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:16 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:20 JST 2020: send msg: [113916529] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:31 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:39:31 JST 2020: send msg: [ok_long] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:39:32 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:32 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:32 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:32 JST 2020: send msg: [ok_long] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:32 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:32 JST 2020: send msg: [addAction:requestMessage:am;113932260] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:32 JST 2020: send msg: [addAction:say:長いイヤリングはやっぱりいいね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:39:35 JST 2020: send msg: [113932260] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:39:35 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:35 JST 2020: send msg: [addAction:say:華やかさがあって存在感があるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:39:35 JST 2020: send msg: [addAction:requestMessage:am;113935197] to 'sota2' (/100.80.194.203, ID:36)
