Mon Oct 21 10:12:03 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Mon Oct 21 10:21:59 JST 2019: send msg: [addAction:say:たくさんあるなあ、どんな方法で探そうかな?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Mon Oct 21 10:21:59 JST 2019: send msg: [addAction:requestMessage:am;102159504] to 'sota2' (/100.80.194.248, ID:26)
Mon Oct 21 10:22:05 JST 2019: send msg: [102159504] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 10:22:05 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:22:05 JST 2019: send msg: [addAction:say:予算から絞り込んでみようかな] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:22:05 JST 2019: send msg: [addAction:requestMessage:am;10225952] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:22:08 JST 2019: send msg: [10225952] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 10:22:24 JST 2019: disconnect with: 'op' (/127.0.0.1,32)
Mon Oct 21 12:07:37 JST 2019: disconnect with: 'sota' (/100.80.194.247,29)
Mon Oct 21 12:07:47 JST 2019: Connect with /100.80.194.247, ID: 81
Mon Oct 21 12:07:47 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:08:27 JST 2019: Connect with /100.80.194.248, ID: 84
Mon Oct 21 12:08:27 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:08:55 JST 2019: Connect with /127.0.0.1, ID: 87
Mon Oct 21 12:08:55 JST 2019: Register name as: 'op' (/127.0.0.1, ID:87)
Mon Oct 21 12:09:15 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 12:09:15 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:15 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.248, ID:26)
Mon Oct 21 12:09:15 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:15 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:15 JST 2019: send msg: [addAction:requestMessage:am;12915632] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:15 JST 2019: send msg: [addAction:say:女の子に何かプレゼントするなら、やっぱり4ドシーだね] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:15 JST 2019: disconnect with: 'sota2' (/100.80.194.248,26)
Mon Oct 21 12:09:20 JST 2019: send msg: [12915632] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:21 JST 2019: send msg: [addAction:motionWith:pose:800:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:21 JST 2019: send msg: [addAction:say:みんな喜んでくれるよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:21 JST 2019: send msg: [addAction:requestMessage:am;1292141] to 'sota2' (/100.80.194.248, ID:84)
Mon Oct 21 12:09:23 JST 2019: send msg: [1292141] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:23 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:23 JST 2019: send msg: [addAction:say:商品がたくさんあって迷っちゃうなあ] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:23 JST 2019: send msg: [addAction:requestMessage:am;12923603] to 'sota' (/100.80.194.247, ID:81)
Mon Oct 21 12:09:26 JST 2019: send msg: [12923603] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 12:09:26 JST 2019: send msg: [addAction:say:たくさんあるなあ、どんな方法で探そうかな?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:84)
