Mon Feb 10 19:13:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Mon Feb 10 19:20:06 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:06 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:07 JST 2020: send msg: [ok_silver] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:07 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:07 JST 2020: send msg: [addAction:say:このシルバーのやつすごくいいね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:07 JST 2020: send msg: [addAction:requestMessage:am;19207107] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:09 JST 2020: send msg: [19207107] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:09 JST 2020: send msg: [addAction:say:上品な輝き最高だね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:09 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:09 JST 2020: send msg: [addAction:requestMessage:am;19209804] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:13 JST 2020: send msg: [19209804] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:13 JST 2020: send msg: [addAction:requestMessage:am;192013110] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:13 JST 2020: send msg: [addAction:say:普段かわいいものばかり着けてる人に、こういう大人っぽいもの贈るのもありだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:13 JST 2020: disconnect with: 'op' (/127.0.0.1,25)
Mon Feb 10 19:20:18 JST 2020: send msg: [192013110] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:18 JST 2020: send msg: [addAction:requestMessage:am;192018639] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:18 JST 2020: send msg: [addAction:say:シルバーはいろんな場面で使えてとても便利だね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:18 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:23 JST 2020: send msg: [192018639] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:23 JST 2020: send msg: [addAction:say:うん、そうだね、そうだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:23 JST 2020: send msg: [addAction:requestMessage:am;192023878] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:26 JST 2020: send msg: [192023878] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:26 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:26 JST 2020: send msg: [addAction:requestMessage:am;192026574] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:26 JST 2020: send msg: [addAction:say:あともう少し長さがあれば完璧だと思うなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:31 JST 2020: send msg: [192026574] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:31 JST 2020: send msg: [addAction:say:長いと動きがあって華やかだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:31 JST 2020: send msg: [addAction:requestMessage:am;192031508] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:31 JST 2020: send msg: [addAction:say:うん、僕もそう思う] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:20:36 JST 2020: send msg: [192031508] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:20:36 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:36 JST 2020: send msg: [addAction:say:長いシルバーのイヤリングは、さらに上品さを引き立ててくれるよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:36 JST 2020: send msg: [addAction:requestMessage:am;192036543] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:20:42 JST 2020: send msg: [192036543] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:22 JST 2020: Connect with /127.0.0.1, ID: 106
Mon Feb 10 19:26:22 JST 2020: Register name as: 'op' (/127.0.0.1, ID:106)
Mon Feb 10 19:26:31 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:26:31 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:requestMessage:am;192631192] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:31 JST 2020: send msg: [192631192] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:requestMessage:am;192631548] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:31 JST 2020: send msg: [192631548] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:31 JST 2020: send msg: [addAction:requestMessage:am;192631853] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:32 JST 2020: send msg: [192631853] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:32 JST 2020: send msg: [addAction:requestMessage:am;192632870] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:32 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:33 JST 2020: send msg: [192632870] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:33 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:33 JST 2020: send msg: [addAction:requestMessage:am;192633837] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:39 JST 2020: send msg: [192633837] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:39 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:39 JST 2020: send msg: [addAction:requestMessage:am;192639897] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:39 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:46 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:26:46 JST 2020: send msg: [cool] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:26:46 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:46 JST 2020: send msg: [cool] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:46 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:46 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:46 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:46 JST 2020: send msg: [addAction:say:イヤリング選ぶの種類も多くて大変そうだね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:46 JST 2020: send msg: [addAction:requestMessage:am;192646529] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:26:50 JST 2020: send msg: [192646529] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:50 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:50 JST 2020: send msg: [addAction:requestMessage:am;192650750] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:50 JST 2020: send msg: [addAction:say:うん、大変そう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:26:53 JST 2020: send msg: [192650750] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:26:53 JST 2020: send msg: [addAction:say:でも真剣に選んだら、きっと相手の女性も喜んでくれるよね!] to 'sota' (/100.80.194.252, ID:21)
