Tue Jan 07 14:21:15 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Tue Jan 07 14:26:57 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:57 JST 2020: send msg: [addAction:say:もっと良さそうなのがあるかもしれないね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:57 JST 2020: send msg: [addAction:requestMessage:am;142657974] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:57 JST 2020: send msg: [addAction:say:だよね、だよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:57 JST 2020: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:27:02 JST 2020: send msg: [nega_long] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 14:27:02 JST 2020: send msg: [nega_long] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:27:02 JST 2020: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:27:02 JST 2020: send msg: [addAction:requestMessage:am;14272769] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:27:02 JST 2020: send msg: [addAction:say:僕の友だちが、ちょっと長めなイヤリングを彼女にプレゼントしたんだよ。] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:27:03 JST 2020: send msg: [142657974] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:27:04 JST 2020: disconnect with: 'op' (/127.0.0.1,25)
Tue Jan 07 14:27:08 JST 2020: send msg: [14272769] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:17 JST 2020: Connect with /127.0.0.1, ID: 83
Tue Jan 07 15:06:17 JST 2020: Register name as: 'op' (/127.0.0.1, ID:83)
Tue Jan 07 15:06:26 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:06:26 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:26 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:26 JST 2020: send msg: [addAction:requestMessage:am;15626730] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:27 JST 2020: send msg: [15626730] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:27 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:27 JST 2020: send msg: [addAction:requestMessage:am;15627493] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:28 JST 2020: send msg: [15627493] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:28 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:28 JST 2020: send msg: [addAction:requestMessage:am;15628460] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:34 JST 2020: send msg: [15628460] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:34 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:34 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:34 JST 2020: send msg: [addAction:requestMessage:am;15634563] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:41 JST 2020: send msg: [15634563] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:41 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:41 JST 2020: send msg: [addAction:requestMessage:am;15641684] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:06:46 JST 2020: send msg: [15641684] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:06:46 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:46 JST 2020: send msg: [addAction:requestMessage:am;15646110] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:06:50 JST 2020: send msg: [15646110] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:01 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:07:01 JST 2020: send msg: [heart] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:07:01 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:01 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:01 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:01 JST 2020: send msg: [heart] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:01 JST 2020: send msg: [wait:4000] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:01 JST 2020: send msg: [addAction:say:プレゼント選び、難しいよね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:01 JST 2020: send msg: [addAction:requestMessage:am;1571802] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:08 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:07:08 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 15:07:08 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:08 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:08 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:08 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:08 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:08 JST 2020: send msg: [addAction:requestMessage:am;1578377] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:10 JST 2020: send msg: [1578377] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:10 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:10 JST 2020: send msg: [addAction:requestMessage:am;15710615] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:14 JST 2020: send msg: [15710615] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:14 JST 2020: send msg: [addAction:wait:1500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:14 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:14 JST 2020: send msg: [addAction:requestMessage:am;15714457] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 15:07:19 JST 2020: send msg: [15714457] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 15:07:19 JST 2020: send msg: [addAction:say:うん、そうだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:19 JST 2020: send msg: [addAction:say:素材とか値段も考えて、もっとたくさん見て決めたいよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:19 JST 2020: send msg: [addAction:requestMessage:am;15719137] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 15:07:25 JST 2020: send msg: [15719137] to 'am' (/127.0.0.1, ID:19)
