Fri Oct 11 14:23:22 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Fri Oct 11 14:23:22 JST 2019: Connect with /100.80.194.128, ID: 10
Fri Oct 11 14:32:24 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:24 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにするといいよ。] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:24 JST 2019: send msg: [addAction:requestMessage:am;143224344] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:28 JST 2019: send msg: [143224344] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:32:28 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:32:28 JST 2019: send msg: [addAction:say:K10ホワイトゴールドだね、何がいいの?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:32:28 JST 2019: send msg: [addAction:requestMessage:am;143228108] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:32:32 JST 2019: send msg: [143228108] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:32:32 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:32 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:32 JST 2019: send msg: [addAction:requestMessage:am;143232989] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:32:39 JST 2019: send msg: [143232989] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:32:39 JST 2019: send msg: [addAction:say:なるほどなあ、値段もお手ごろみたいだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:32:39 JST 2019: send msg: [addAction:requestMessage:am;143239345] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:32:43 JST 2019: send msg: [143239345] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:16 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:35:16 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:16 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:16 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:16 JST 2019: send msg: [addAction:requestMessage:am;143516680] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:23 JST 2019: send msg: [143516680] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:23 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:23 JST 2019: send msg: [addAction:requestMessage:am;143523544] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:23 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:24 JST 2019: send msg: [143523544] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:24 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:24 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:24 JST 2019: send msg: [addAction:requestMessage:am;143524917] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:28 JST 2019: send msg: [143524917] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:28 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:28 JST 2019: send msg: [addAction:say:マテリアルのところを:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:28 JST 2019: send msg: [addAction:requestMessage:am;143528884] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:35:30 JST 2019: send msg: [143528884] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:35:31 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:35:31 JST 2019: send msg: [addAction:say:K10ホワイトゴールドにするといいよ。] to 'sota' (/100.80.194.128, ID:10)
