Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:19:11 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:11 JST 2019: send msg: [addAction:requestMessage:am;231911586] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:15 JST 2019: send msg: [231911566] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:19:18 JST 2019: send msg: [231911586] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:19:32 JST 2019: send msg: [oo] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:19:32 JST 2019: send msg: [oo] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:19:40 JST 2019: send msg: [oo] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:19:40 JST 2019: send msg: [oo] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:19:46 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:19:46 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:19:46 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:requestMessage:am;2319470] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:47 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:requestMessage:am;231947111] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:47 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:19:50 JST 2019: send msg: [2319470] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:19:54 JST 2019: send msg: [231947111] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:21:04 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:04 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:21:04 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:21:04 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:04 JST 2019: send msg: [addAction:requestMessage:am;23214898] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:04 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:04 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:21:05 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:05 JST 2019: send msg: [addAction:requestMessage:am;232154] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:05 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:21:08 JST 2019: send msg: [23214898] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:21:12 JST 2019: send msg: [232154] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:21:32 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:32 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:21:38 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:21:38 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:40 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:21:40 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:41 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:41 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:21:43 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:21:43 JST 2019: send msg: [aizuchi] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:22:12 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:22:12 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:25)
